RID,VERSION,STATUS,IP,HTTP_URL,SESSION,START,DURATION,SRC,EXTID,RAND_A_slot1,RAND_A_slot2,RAND_A_slot3,RAND_A_slot4,RAND_A_slot5,RAND_A_slot6,RAND_A_slot7,RAND_A_slot8,RAND_A_slot9,RAND_A_slot10,RAND_A_slot11,RAND_A_slot12,RAND_A_slot13,RAND_A_slot14,RAND_A_slot15,RAND_A_slot16,RAND_A_slot17,RAND_A_slot18,RAND_A_slot19,RAND_A_slot20,RAND_A_slot21,RAND_A_slot22,RAND_A_slot23,RAND_A_slot24,RAND_A_slot25,RAND_A_slot26,RAND_A_slot27,RAND_A_slot28,RAND_A_slot29,RAND_A_slot30,RAND_A_slot31,RAND_A_slot32,q20,q21,q24,q15,q14,q16,q17
30,1,10,f.5e894.b.e,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimgg;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=3,ca85cdef3446fa47a4466a5fd7f746cc,1583860741.10379,2461.002,CSR_preferences,,20,14,2,25,26,15,12,17,27,5,19,31,8,4,18,3,32,30,28,13,7,21,24,10,6,1,23,22,9,11,16,29,,,,,,,
29,1,10,004.a5.52.5,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimgg;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=3,850783970545e4f00cf5aee6d88ee418,1583860583.63396,2618.485,CSR_preferences,,4,11,27,21,7,25,14,13,31,12,20,19,1,29,17,15,22,26,2,24,32,30,18,3,23,28,5,6,9,10,16,8,,,,,,,
32,1,10,004a.5.52.5,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclim;preview=true;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=,c091b2caba6450d773d41b51210c31c1,1583860794.14281,2407.99,,,9,24,11,2,6,10,12,15,31,19,29,8,25,16,3,13,30,20,23,4,5,17,32,1,26,27,18,22,14,28,7,21,,,,,,,
31,1,10,004.a55.2.5,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimgg;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=3,b60eb99b414e1159a24d49e9d3739d2f,1583860762.063,2440.083,CSR_preferences,,29,32,17,27,7,10,21,15,12,26,1,8,6,25,5,2,9,28,13,3,23,24,19,16,14,22,11,4,20,31,30,18,,,,,,,
33,1,10,78.87.60f.e,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimgg;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=3,d6cac2a130c72c1e4cc8003c1f4e1eec,1584306462.54589,3139.891,CSR_preferences,,7,22,18,25,14,29,6,21,23,26,5,11,24,27,20,31,15,19,8,9,16,3,4,17,2,32,30,13,28,12,10,1,3,2,1,,,,
39,2,10,980a.6.40.e,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,a2ee59171c08c7ab82d1dded044377c8,1584315951.06173,1822.106,CSR_preferences,,26,9,19,25,13,28,1,31,7,16,6,3,29,21,4,11,32,22,10,30,23,15,20,8,18,5,17,27,24,2,14,12,,,,,,,
45,2,10,98.0a.640.e,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;fbclid=IwAR34sgr_aD_bIPel5SUR4pHBWgZQsTY0Q3vUXnoyz-5qNLcpnGk_z0JMN1Y;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,abc03b41ffb585315429b461946802b2,1584316199.49804,1807.779,CSR_preferences,,1,27,24,6,25,20,3,11,19,16,8,22,23,26,32,21,12,31,4,2,13,9,28,14,7,30,18,5,17,15,10,29,,,,,,,
44,2,10,de4.74.63.e,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,3afe17e1080502d02488b221fb478693,1584316189.91466,1817.377,CSR_preferences,,19,23,5,26,20,7,6,29,22,12,15,16,9,27,8,10,13,31,11,4,21,3,2,24,30,17,28,14,1,18,32,25,,,,,,,
40,2,10,d.e475.23.8,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,b7b6a751334e6580c4dadc722bd1d0de,1584316096.91062,1910.395,CSR_preferences,,7,21,2,11,9,30,28,25,27,15,4,1,17,32,26,31,20,10,14,24,23,3,18,8,13,22,19,5,29,6,16,12,,,,,,,
42,2,10,de.475.23.0,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,751f8fa8c6c717bd97f376bbdf142967,1584316099.27419,1908.045,CSR_preferences,,25,19,10,23,13,7,26,11,22,3,32,27,6,24,5,30,20,17,16,18,4,14,29,31,28,12,1,21,8,9,15,2,,,,,,,
