RID,DESIGN_ROW,SCENARIO,SEQ,pref1,pref4,a1_x1,a2_x1,a3_x1,a4_x1
29,4,4,1,,,11,13,10,9
31,29,29,1,2,3,7,12,10,9
31,32,32,2,,,2,5,11,4
33,4,4,23,2,3,11,13,10,9
33,3,3,22,3,2,16,15,4,10
33,2,2,25,1,2,2,1,10,3
33,1,1,32,2,3,7,2,11,14
33,5,5,11,2,3,13,6,10,14
33,6,6,7,3,4,6,2,8,7
33,7,7,1,1,2,6,4,16,8
33,8,8,19,2,3,14,15,5,3
33,9,9,20,3,2,3,15,8,14
33,10,10,31,2,3,13,3,1,4
33,11,11,12,1,4,6,11,15,12
33,12,12,30,3,2,11,15,4,7
33,13,13,28,3,2,9,2,5,14
33,14,14,5,3,2,4,2,13,12
33,15,15,17,2,3,12,8,10,5
33,16,16,21,2,3,13,5,7,6
33,17,17,24,3,4,8,11,13,16
33,18,18,3,2,3,3,7,10,8
33,19,19,18,3,2,6,9,3,4
33,20,20,15,2,3,6,12,1,2
33,21,21,8,2,3,3,16,12,5
33,22,22,2,4,2,16,2,10,15
33,23,23,9,2,3,12,13,16,14
33,24,24,13,2,3,8,4,9,14
33,25,25,4,1,2,3,9,11,12
33,26,26,10,1,2,15,1,5,13
33,27,27,14,3,2,1,8,5,11
33,28,28,29,2,3,16,1,9,7
33,29,29,6,2,3,7,12,10,9
33,30,30,27,2,3,15,9,1,6
33,31,31,16,3,2,14,16,1,7
33,32,32,26,2,3,2,5,11,4
39,26,26,1,,,15,1,5,13
48,3,3,2,3,4,16,15,4,10
48,15,15,3,,,12,8,10,5
48,30,30,1,1,2,15,9,1,6
50,1,1,5,4,2,7,2,11,14
50,6,6,12,3,1,6,2,8,7
50,7,7,8,3,1,6,4,16,8
50,8,8,18,2,4,14,15,5,3
50,10,10,22,1,4,13,3,1,4
50,11,11,7,3,1,6,11,15,12
50,12,12,23,,,11,15,4,7
50,15,15,2,1,3,12,8,10,5
50,16,16,14,1,4,13,5,7,6
50,17,17,15,3,1,8,11,13,16
50,18,18,6,4,3,3,7,10,8
50,19,19,10,3,2,6,9,3,4
50,20,20,3,2,1,6,12,1,2
50,21,21,21,3,1,3,16,12,5
50,22,22,19,4,2,16,2,10,15
50,25,25,17,4,2,3,9,11,12
50,26,26,9,1,2,15,1,5,13
50,27,27,1,2,1,1,8,5,11
50,28,28,16,1,3,16,1,9,7
50,29,29,13,2,4,7,12,10,9
50,30,30,11,1,2,15,9,1,6
50,31,31,4,1,3,14,16,1,7
50,32,32,20,2,1,2,5,11,4
49,2,2,3,3,4,2,1,10,3
49,5,5,15,3,1,13,6,10,14
49,7,7,8,3,4,6,4,16,8
49,10,10,10,3,2,13,3,1,4
49,15,15,12,3,2,12,8,10,5
49,16,16,1,2,3,13,5,7,6
49,17,17,11,2,1,8,11,13,16
49,18,18,7,3,2,3,7,10,8
49,19,19,4,2,3,6,9,3,4
49,20,20,9,2,1,6,12,1,2
49,21,21,14,3,1,3,16,12,5
49,23,23,6,4,3,12,13,16,14
49,24,24,13,4,1,8,4,9,14
49,25,25,16,3,1,3,9,11,12
49,26,26,2,1,4,15,1,5,13
49,27,27,5,4,2,1,8,5,11
49,29,29,17,,,7,12,10,9
53,30,30,1,,,15,9,1,6
56,24,24,1,,,8,4,9,14
62,6,6,1,,,6,2,8,7
68,3,3,2,,,16,15,4,10
68,13,13,1,3,2,9,2,5,14
67,18,18,1,,,3,7,10,8
72,32,32,1,,,2,5,11,4
75,9,9,1,,,3,15,8,14
74,10,10,1,1,2,13,3,1,4
74,15,15,2,,,12,8,10,5
82,4,4,3,1,2,11,13,10,9
82,3,3,31,2,1,16,15,4,10
82,2,2,7,3,4,2,1,10,3
82,1,1,10,3,1,7,2,11,14
82,5,5,19,4,2,13,6,10,14
82,6,6,12,2,3,6,2,8,7
82,7,7,22,1,4,6,4,16,8
82,8,8,9,2,4,14,15,5,3
82,9,9,6,2,1,3,15,8,14
82,10,10,2,1,2,13,3,1,4
82,11,11,8,3,1,6,11,15,12
82,12,12,25,2,4,11,15,4,7
82,13,13,1,3,2,9,2,5,14
82,14,14,17,4,1,4,2,13,12
82,15,15,15,1,2,12,8,10,5
82,16,16,32,2,3,13,5,7,6
82,17,17,23,2,4,8,11,13,16
82,18,18,4,3,4,3,7,10,8
82,19,19,24,2,3,6,9,3,4
82,20,20,18,2,1,6,12,1,2
82,21,21,16,3,1,3,16,12,5
82,22,22,20,4,1,16,2,10,15
82,23,23,30,1,3,12,13,16,14
82,24,24,21,4,1,8,4,9,14
82,25,25,29,3,1,3,9,11,12
82,26,26,14,1,2,15,1,5,13
82,27,27,28,4,2,1,8,5,11
82,28,28,11,3,4,16,1,9,7
82,29,29,5,2,1,7,12,10,9
82,30,30,27,1,4,15,9,1,6
82,31,31,26,1,4,14,16,1,7
82,32,32,13,3,4,2,5,11,4
77,4,4,9,2,3,11,13,10,9
77,3,3,2,2,4,16,15,4,10
77,2,2,10,1,2,2,1,10,3
77,1,1,20,2,1,7,2,11,14
77,5,5,14,2,3,13,6,10,14
77,6,6,6,2,3,6,2,8,7
77,7,7,29,1,2,6,4,16,8
77,8,8,27,2,3,14,15,5,3
77,9,9,32,4,1,3,15,8,14
77,10,10,5,1,4,13,3,1,4
77,11,11,12,3,2,6,11,15,12
77,12,12,19,2,4,11,15,4,7
77,13,13,1,4,1,9,2,5,14
77,14,14,25,4,1,4,2,13,12
77,15,15,11,1,2,12,8,10,5
77,16,16,22,4,1,13,5,7,6
77,17,17,16,2,1,8,11,13,16
77,18,18,31,1,3,3,7,10,8
77,19,19,23,1,2,6,9,3,4
77,20,20,3,2,3,6,12,1,2
77,21,21,8,1,4,3,16,12,5
77,22,22,21,2,1,16,2,10,15
77,23,23,18,3,4,12,13,16,14
77,24,24,7,4,3,8,4,9,14
77,25,25,13,1,2,3,9,11,12
77,26,26,4,4,3,15,1,5,13
77,27,27,15,4,2,1,8,5,11
77,28,28,26,3,2,16,1,9,7
77,29,29,24,2,1,7,12,10,9
77,30,30,17,1,3,15,9,1,6
77,31,31,28,1,3,14,16,1,7
77,32,32,30,3,4,2,5,11,4
78,4,4,22,2,4,11,13,10,9
78,3,3,7,2,4,16,15,4,10
78,2,2,18,4,1,2,1,10,3
78,1,1,28,4,2,7,2,11,14
78,5,5,11,4,2,13,6,10,14
78,6,6,19,3,1,6,2,8,7
78,7,7,23,3,1,6,4,16,8
78,8,8,27,2,4,14,15,5,3
78,9,9,17,2,1,3,15,8,14
78,10,10,20,1,4,13,3,1,4
78,11,11,25,3,1,6,11,15,12
78,12,12,8,2,3,11,15,4,7
78,13,13,16,4,1,9,2,5,14
78,14,14,29,4,2,4,2,13,12
78,15,15,15,1,3,12,8,10,5
78,16,16,24,1,4,13,5,7,6
78,17,17,5,3,1,8,11,13,16
78,18,18,2,4,3,3,7,10,8
78,19,19,4,3,2,6,9,3,4
78,20,20,32,2,4,6,12,1,2
78,21,21,26,3,1,3,16,12,5
78,22,22,12,4,2,16,2,10,15
78,23,23,10,1,2,12,13,16,14
78,24,24,9,4,3,8,4,9,14
78,25,25,6,4,2,3,9,11,12
78,26,26,13,1,2,15,1,5,13
78,27,27,31,4,1,1,8,5,11
78,28,28,3,1,3,16,1,9,7
78,29,29,30,2,4,7,12,10,9
78,30,30,14,1,2,15,9,1,6
78,31,31,1,1,3,14,16,1,7
78,32,32,21,3,1,2,5,11,4
86,4,4,3,3,2,11,13,10,9
86,3,3,31,2,4,16,15,4,10
86,2,2,16,2,3,2,1,10,3
86,1,1,8,1,2,7,2,11,14
86,5,5,32,4,2,13,6,10,14
86,6,6,11,3,1,6,2,8,7
86,7,7,29,4,2,6,4,16,8
86,8,8,26,2,4,14,15,5,3
86,9,9,27,2,1,3,15,8,14
86,10,10,25,3,4,13,3,1,4
86,11,11,24,3,1,6,11,15,12
86,12,12,13,2,3,11,15,4,7
86,13,13,7,3,1,9,2,5,14
86,14,14,20,2,1,4,2,13,12
86,15,15,18,4,3,12,8,10,5
86,16,16,17,2,4,13,5,7,6
86,17,17,1,4,3,8,11,13,16
86,18,18,2,4,3,3,7,10,8
86,19,19,10,3,2,6,9,3,4
86,20,20,19,3,1,6,12,1,2
86,21,21,6,4,1,3,16,12,5
86,22,22,5,4,3,16,2,10,15
86,23,23,21,1,2,12,13,16,14
86,24,24,12,1,3,8,4,9,14
86,25,25,14,4,2,3,9,11,12
86,26,26,22,1,3,15,1,5,13
86,27,27,9,2,4,1,8,5,11
86,28,28,15,4,3,16,1,9,7
86,29,29,4,2,3,7,12,10,9
86,30,30,30,1,2,15,9,1,6
86,31,31,23,2,3,14,16,1,7
86,32,32,28,2,4,2,5,11,4
79,6,6,1,,,6,2,8,7
81,29,29,1,,,7,12,10,9
85,18,18,1,,,3,7,10,8
84,7,7,1,3,1,6,4,16,8
84,13,13,2,3,2,9,2,5,14
84,18,18,4,2,3,3,7,10,8
84,19,19,5,2,1,6,9,3,4
84,28,28,6,,,16,1,9,7
